SOURCE,TARGET,RATING,TIME
1383,7,9,1337872542.39403
1478,2040,8,1337886655.6019
1899,1473,8,1337968562.6066802
1473,1899,8,1337970032.26581
1204,2028,10,1339183681.26945
1846,1386,10,1339907523.57496
1386,1846,8,1339916635.41744
2028,2214,10,1340334465.51151
215,1566,8,1340670991.44945
304,25,10,1340730999.1833198
2240,2080,10,1340903814.38031
1204,2125,10,1341025207.59666
1620,722,10,1341094280.82754
1529,905,8,1341283800.1610901
2200,1620,10,1341333496.79997
1620,2200,10,1341333789.75386
905,1386,10,1341381950.08512
425,1386,9,1341431942.90902
1566,215,9,1341602159.10111
425,1317,9,1341626943.35825
1386,425,9,1341627072.38915
1878,25,10,1341632490.54687
988,2305,10,1342383271.05302
2305,988,10,1342383312.21682
2303,25,10,1342466369.60428
988,2313,8,1342476331.54242
1896,2076,10,1342561879.82534
2076,1896,10,1342583835.77634
1829,25,10,1342671133.0734198
2241,1121,10,1342737297.28772
1121,2241,10,1342737853.00535
1204,1899,10,1343077062.43917
1899,1204,8,1343092077.09492
1,4,10,1343107173.27381
4,1,10,1343107243.5032198
1585,1,9,1343107428.4595401
2125,2349,8,1343226336.49469
2311,1201,10,1343235894.0095
1316,1366,8,1343241225.50184
1316,425,8,1343254586.6640801
425,1316,8,1343254657.79726
1366,1,10,1343366691.2932599
2230,2118,8,1343407221.47855
732,2176,8,1343547662.40762
2067,1731,10,1343750429.9314
1731,2067,10,1343750461.92133
2305,2377,10,1343850923.28614
2377,2305,10,1343851158.03658
2377,2313,10,1343851347.20414
2311,2167,10,1344062978.0267198
2174,25,10,1344456798.68237
1201,1316,8,1344638098.5469599
1316,1201,8,1344638144.28407
1948,1615,10,1344889342.59156
2118,2230,8,1344929343.65451
2427,2118,8,1344933151.07602
1615,1948,8,1344935135.87062
2344,25,10,1344982299.45225
2125,2438,8,1345138000.53547
1383,1566,10,1345242623.3568199
2451,1396,10,1345299929.2706401
2132,1624,8,1345401039.44685
1201,4,8,1345615362.48884
4,1201,8,1345615389.63891
2507,1185,10,1346147413.10553
2347,2313,10,1346447884.59083
823,2070,8,1346708053.1814802
2070,823,8,1346708098.91889
304,905,10,1346724018.68714
2523,25,10,1346820984.4345698
2516,2543,9,1346937861.23965
241,249,10,1346959921.3517401
1719,2158,8,1346969085.15628
2540,2548,8,1346981739.15012
2342,2370,10,1347008737.79987
2370,2342,10,1347008804.50665
2472,2067,10,1347063346.58112
1689,25,10,1347094868.84295
2,1363,8,1347122757.62889
2,167,8,1347122785.28266
2,39,8,1347122790.3452802
2,223,8,1347122796.10978
2,245,8,1347122805.28953
2549,2567,10,1347280366.61009
2567,2566,8,1347280395.94365
2566,2568,9,1347280510.24679
2567,2568,9,1347280527.27105
2568,2567,9,1347280546.47723
2569,2568,9,1347280764.34615
304,2198,10,1347594764.41517
304,1899,10,1347594769.96664
1899,304,10,1347594851.94227
2592,2574,10,1347636451.00674
2603,2585,8,1347718315.73813
2603,2601,10,1347718375.10011
2616,35,10,1347895897.0432599
241,1,8,1347924781.84433
2585,2622,9,1347944510.47665
2585,2623,8,1347944522.84687
2622,2623,9,1347944734.47011
2637,2635,9,1348112640.76335
1774,1752,8,1348160243.05225
132,1,10,1348246186.71797
2659,2658,10,1348384720.0083401
2670,2669,10,1348573715.08587
2657,2670,8,1348573865.7103
2670,2657,8,1348573948.17264
2670,2671,9,1348576009.53113
2670,2672,9,1348576076.7430902
2670,2633,9,1348576087.9075902
2657,2672,9,1348576699.89644
2675,2633,9,1348578839.1838
2678,2671,10,1348579132.85771
2678,2672,9,1348579179.28091
2672,2067,9,1348579314.8768
2672,2631,10,1348579550.40271
2672,2629,10,1348579576.89285
2672,2632,10,1348579589.54816
2672,2628,10,1348579605.34272
2632,2628,10,1348579848.8248599
2632,2629,10,1348579868.69104
2632,2631,10,1348579890.28684
2632,1543,10,1348579955.58532
2631,2634,10,1348580179.65473
2631,2574,10,1348580219.68577
2631,2666,10,1348580228.06061
2631,2570,10,1348580268.08474
2631,2571,10,1348580289.01227
2628,1810,10,1348580350.7842
2628,1543,10,1348580382.2054698
2628,2574,10,1348580394.8347301
2628,2571,10,1348580413.91832
2628,2548,10,1348580435.09198
2665,1948,8,1348591579.2846901
2680,1543,10,1348602711.6471
2680,2682,10,1348602716.3870199
2680,1810,10,1348603124.74616
2680,2176,10,1348603132.69019
2682,2176,10,1348603206.8471901
2682,1543,10,1348603318.9947698
2682,1810,10,1348603385.94415
2682,2680,10,1348603392.56997
2682,1201,10,1348603405.02919
2680,905,10,1348603603.1280699
1543,2683,10,1348605667.18461
2680,2683,10,1348605752.80402
2682,2683,10,1348605818.31705
2680,2485,8,1348605838.0804698
1543,2682,9,1348605878.13798
1543,2680,10,1348605897.98437
2683,1543,10,1348605906.88803
1543,2684,10,1348606644.36663
2680,2684,10,1348606704.1411
2684,905,10,1348606876.97196
2683,2685,10,1348620261.93723
2685,2683,10,1348620524.11956
1396,1316,8,1348689032.0701098
1396,1386,8,1348689078.45955
2128,2118,10,1348743069.35848
905,57,10,1348775085.18628
2070,1948,8,1348816791.25721
2674,2672,10,1348866471.5896301
2699,2674,10,1348866581.57057
2574,2700,10,1348888772.3090901
2711,1,10,1348917189.55635
2720,2574,10,1349057608.9079099
2720,2721,10,1349057615.36096
2720,2700,10,1349057629.32249
2726,35,10,1349125437.58435
2738,2676,10,1349306938.2279801
2758,242,10,1349473517.60077
242,2758,9,1349493700.12241
2176,1,10,1349649258.35062
2686,2771,9,1349718415.44136
2771,2686,9,1349720322.8115401
1948,2070,8,1349803493.16232
2788,2647,10,1349896760.05385
2786,35,10,1350026192.09013
2409,2028,10,1350339862.00864
2823,2782,10,1350396007.9890802
2828,2647,10,1350475198.6147
2693,2427,10,1350968416.91697
2214,2028,10,1351094918.77203
2884,1675,10,1351257045.3197598
2866,2688,10,1351277653.95465
2884,2028,10,1351282810.5216
905,1953,10,1351655726.02656
1629,1383,10,1352051607.95249
2812,2028,10,1352091941.7432199
2940,25,10,1352178676.038
2942,25,10,1352178691.10461
2918,1953,10,1352285048.73985
2859,2953,10,1352293975.20979
13,25,10,1352414354.1596901
2688,2028,10,1353044735.93554
3003,2733,10,1353119695.96562
3010,1953,10,1353172689.8979301
2028,2725,9,1353185488.75424
2647,2485,10,1353199592.4328198
2788,2642,10,1353264997.5961
2725,2028,10,1353286426.4551802
1555,2246,10,1353406068.0387402
2992,3027,8,1353416501.60485
2725,2733,9,1353561580.52738
1396,1566,8,1353606826.9534
2485,2647,10,1353665592.09151
304,1953,8,1353705515.06234
1953,304,8,1353705566.8815
1217,23,10,1353833182.27524
6,1363,8,1354068531.08765
6,1,8,1354068551.86893
1386,1201,10,1354079953.57965
2647,2635,10,1354136924.64082
2388,25,9,1354147925.0237
3045,25,10,1354147973.26591
3092,2896,10,1354396086.92281
224,2125,9,1354575995.26528
1675,1810,10,1354685904.62792
2817,1217,8,1354797482.52843
2647,3125,10,1354829117.45735
3086,3129,10,1354908557.98779
2725,2835,9,1355102177.21865
2642,3598,8,1355110445.2042
1743,3157,8,1355194547.46458
1743,448,10,1355195814.16555
1743,143,8,1355235776.01301
448,1743,10,1355235888.62459
2905,3018,10,1355261882.90788
1743,2013,8,1355588846.1544
2013,1743,8,1355589333.23354
2725,1731,9,1355800856.36208
2763,3198,10,1355938327.89907
3203,1271,10,1355953590.31369
1840,1185,8,1355967664.0464098
2635,2647,10,1356121690.64834
3218,3018,10,1356185113.7107599
3084,2647,9,1356279345.38453
3125,2647,10,1356295464.94367
1363,2,8,1356408279.63006
1363,245,8,1356408285.6561599
3190,25,10,1356630052.3632698
3223,3246,10,1356652110.3812099
3198,2763,10,1356768112.70293
2635,3260,10,1356877856.55742
3246,3223,10,1356915281.54353
3197,3239,10,1357181306.9003198
3197,2642,10,1357185838.8417401
2821,2028,10,1357255812.3253
3276,2642,10,1357258354.24052
2118,3281,8,1357351878.81902
3281,2118,8,1357352382.543
3236,3119,10,1357412959.2186801
3086,3260,10,1357575327.14153
2296,1403,10,1357584294.55127
2296,2388,10,1357584363.56972
2296,1363,10,1357584415.96625
2028,3293,10,1357587469.19421
2733,3293,10,1357587485.49131
3308,3219,8,1357753499.48675
2647,1953,10,1358035619.99231
2942,1810,10,1358045194.60223
363,1366,10,1358211956.1884902
3287,3333,10,1358266902.49801
3345,1656,10,1358608580.19544
1318,1656,10,1358608757.20313
2825,2635,8,1358770284.28984
2825,3086,8,1358770359.7207599
2825,3018,8,1358770383.4059901
2825,2419,8,1358770447.93133
3264,3366,9,1358914520.0066
1217,3377,10,1358941739.45924
2028,1334,9,1358981543.2802598
2118,3377,8,1359107369.26772
3395,2642,8,1359320731.4009
2484,3367,10,1359344999.82116
2028,2125,8,1359407752.84836
3363,3086,8,1359488177.50121
1953,2635,8,1359551716.51954
1953,3260,8,1359552025.13496
2966,1953,8,1359554280.63665
3377,1217,10,1359633637.93313
3377,2118,10,1359633898.41019
2028,3416,8,1359656305.8975801
3198,1018,10,1359679226.0741699
540,2028,10,1359745039.03945
2763,1018,9,1359775549.89166
3598,2642,10,1359925314.03495
2784,2118,10,1359927603.6944
2127,2763,10,1360292350.6777802
3456,2437,10,1360438238.8503199
1550,1217,9,1360618747.98585
2127,1352,10,1360669575.3656
3483,3484,10,1360822971.45589
3484,3483,10,1360823085.26137
3489,2838,10,1360899799.7620199
3500,3208,10,1361126631.02302
1018,230,10,1361170685.91981
3525,3018,10,1361472013.87422
2028,1018,8,1361935930.67455
2642,1018,8,1362005625.94042
1815,135,10,1362031022.0916
3553,3552,10,1362083749.86219
3554,3552,10,1362084496.69507
3498,3555,10,1362087900.47395
3498,3552,8,1362087992.1782
3556,3552,8,1362088298.47418
3558,3552,8,1362089217.88796
2063,2028,8,1362104280.6061301
3511,2642,10,1362152154.81834
3562,3552,8,1362177445.9358802
3563,3562,10,1362177894.12219
3563,3552,10,1362177943.49774
3556,3563,10,1362178081.25148
3556,3564,10,1362178270.47307
3564,3552,8,1362178317.33422
3556,3565,10,1362178541.47665
3565,3552,8,1362178598.25486
3556,3566,8,1362178799.3611698
3566,3552,8,1362178851.35319
3565,3567,8,1362179256.58046
3567,3552,10,1362179326.15984
3565,3569,8,1362180634.87155
3569,3552,10,1362180677.56316
3570,3552,8,1362181048.94054
3366,1,10,1362519714.49507
2158,135,10,1362547248.17683
3591,2642,10,1362764243.01651
1810,2942,8,1362808258.7372699
2961,25,10,1363118850.17011
3615,35,10,1363130998.90531
3615,2897,10,1363135994.29159
3545,160,10,1363156429.65195
2173,2028,8,1363212818.73944
3665,896,10,1363225656.7741401
3678,3451,10,1363366705.13212
3695,3669,9,1363624843.34868
1565,1318,10,1363802772.9296
2625,3223,8,1363823255.1644402
6,856,8,1363836906.67669
6,2188,9,1363836946.04918
3723,3689,10,1363922979.98395
3646,2125,8,1364011470.46083
3732,3731,10,1364044074.51189
2962,3744,10,1364151112.45874
2644,1764,10,1364193521.4997802
3744,2962,10,1364197802.1219199
3744,23,10,1364202347.6953301
2144,1764,8,1364220028.1840901
3366,1948,10,1364243067.9546301
3744,1670,10,1364293987.97018
3744,1743,10,1364294014.3248
3744,29,10,1364294040.6547801
3744,1967,10,1364294104.57965
3744,2125,10,1364294758.77295
3744,535,10,1364295026.1877599
3744,2173,10,1364295344.2634199
3744,493,10,1364295699.30616
3744,2438,10,1364296476.78785
3744,3736,10,1364302364.52716
3744,3394,10,1364302404.38659
3744,2017,10,1364313647.77429
3744,3756,10,1364313681.95485
3757,2017,10,1364313794.47766
3757,3756,10,1364313808.17345
3756,3744,10,1364314602.67822
3756,2017,10,1364314613.88175
3756,3757,10,1364314656.83715
3756,2962,10,1364315046.6269999
3757,2962,10,1364315348.12486
3744,3757,10,1364315687.27977
3744,3759,10,1364315695.91506
3759,2962,10,1364315783.0905302
3759,3744,10,1364315788.8684301
3759,3756,10,1364315792.68439
3759,3757,10,1364315795.64171
3759,2017,10,1364315801.2138698
3744,3760,10,1364316275.7160199
3760,2962,10,1364316380.88254
3760,2017,10,1364316391.1175199
3760,3756,10,1364316397.94265
3760,3757,10,1364316401.2719
3760,3759,10,1364316406.71163
3760,3744,10,1364316409.25456
3366,2296,10,1364330617.4331698
2019,1810,10,1364355563.90692
2262,3734,8,1364357212.81398
3744,2934,10,1364498444.7503
3756,2934,10,1364499377.7454
3757,2934,10,1364499600.64187
3759,2934,10,1364499695.63624
3760,2934,10,1364499782.24924
3785,1810,10,1364501228.54476
3785,1802,10,1364501261.74192
2470,1217,8,1364683735.07406
1743,3219,8,1364909924.2347698
3223,2625,10,1364926664.3836699
3547,3699,10,1364971008.69724
3800,2484,10,1364996183.85517
2770,3377,8,1365092831.3931901
1386,3859,8,1365097383.29093
1933,2903,10,1365107701.64078
3776,3018,10,1365110173.45476
3861,2903,10,1365111581.49332
3861,1933,10,1365111595.67782
2903,3861,10,1365111608.2360198
2903,1933,10,1365111663.52352
3511,3820,10,1365113548.72744
1967,3876,9,1365214821.1533
3500,3878,10,1365250832.78962
3500,3888,10,1365338604.10338
3888,3500,10,1365339186.6560302
3896,2262,8,1365388958.2788699
3928,3735,10,1365485584.12785
3973,3669,10,1365527593.4574199
3881,3735,10,1365530915.7657402
2495,3974,10,1365532350.05562
3974,2495,10,1365532439.8394
585,3975,10,1365533594.3750901
3987,3598,10,1365596485.62469
361,3996,10,1365626932.02454
3996,361,10,1365627433.72983
3660,3996,8,1365699977.71409
3571,3748,9,1365706422.0339699
3917,4007,10,1365707365.90051
3397,1363,10,1365707508.38761
3972,2079,10,1365745504.72931
3500,3781,10,1365766317.93595
3828,2642,10,1365786237.31758
4029,2642,10,1365808784.73577
4030,3168,10,1365814210.36919
3500,4035,10,1365842556.68542
3500,3655,10,1365846725.96781
4015,3990,10,1365873927.0514698
4047,3735,10,1365909415.56288
4047,2642,10,1365917408.19258
4052,3735,10,1365954680.82505
4054,3735,10,1365979489.76181
4059,3735,8,1365988293.83094
3414,3738,10,1366042911.17395
3211,4080,8,1366052529.2760198
113,25,10,1366168380.73033
3547,3445,10,1366191886.00543
2897,3488,10,1366227877.76448
3488,2897,10,1366228082.8163302
4112,3018,10,1366406674.61364
4121,3735,10,1366500412.4931
2388,1363,9,1366587693.62085
4136,3724,10,1366596633.39225
4136,4036,10,1366598886.36162
1201,4144,9,1366690010.86854
4144,1201,9,1366690107.5121
4141,2647,9,1366725127.36503
4150,2188,10,1366825382.49926
4164,2284,8,1366922369.43096
4168,3735,10,1366988065.7112901
905,1316,10,1367020005.59258
3642,1810,10,1367195688.36734
2296,1810,10,1367195728.84142
2625,3219,10,1367241582.75893
3219,2625,10,1367241593.02897
2763,2127,10,1367271441.7844
2897,2110,10,1367329567.97824
3539,4075,10,1367339714.84883
4163,1689,10,1367369681.1640599
1316,1396,8,1367384980.0006
2344,2266,10,1367420611.8438401
4205,3982,10,1367463603.8069901
4181,4198,10,1367470994.5422401
4198,4181,10,1367471558.1911
3056,2642,10,1367523208.71613
4212,3735,10,1367545261.7524
4219,3735,10,1367709014.8938
2512,13,10,1367781134.62923
4038,3642,10,1367781634.85689
4226,3642,10,1367796400.26744
1719,905,8,1367890132.2657
1719,2198,10,1367890192.19365
4237,4217,10,1367953400.0548198
1201,4238,8,1367976635.02356
4240,3642,8,1367999991.45509
4245,3813,9,1368112432.8749
4098,3898,10,1368115218.92935
4163,3545,9,1368149833.1478698
4163,395,10,1368150039.29881
2167,4257,10,1368239316.40872
1217,39,8,1368357597.2081099
3527,4261,10,1368365862.59045
4261,3527,10,1368370489.74129
4257,2167,10,1368464803.5263698
3982,4205,10,1368562503.14557
905,304,10,1368745090.03715
4098,3723,10,1368756979.52389
3723,4098,10,1368757197.03744
2942,2125,10,1368772424.5111802
3214,2165,10,1368798011.18473
3018,2635,10,1368894314.41347
4136,3735,10,1368989694.63573
3816,2404,8,1368992266.15663
4238,2167,10,1369044535.9167302
4163,2142,10,1369147025.66564
4163,230,10,1369147397.22067
1018,3219,9,1369160598.89104
3887,2642,8,1369190836.65138
3214,3219,9,1369414931.95467
3219,3214,8,1369415311.29748
3397,1098,10,1369470667.8758
4238,4348,8,1369737140.68391
3489,35,10,1369790503.7337198
3490,4354,10,1369860132.4765902
4238,4356,8,1369879237.69863
4354,3490,10,1370014406.5961401
3699,4235,9,1370029225.2706199
4172,2125,8,1370165058.2658
4367,2777,10,1370197295.48705
4369,1947,8,1370262993.62438
905,1529,10,1370350580.33315
2063,2642,8,1370547833.30494
4354,4393,10,1370698160.0422099
4395,4396,8,1370718537.10768
4396,4395,10,1370720238.83182
280,3815,8,1370728376.9517
3490,4393,10,1370740885.7844698
3815,280,10,1370748722.41589
1810,1765,8,1370901143.85098
2167,4172,10,1370939009.0306802
4107,2635,10,1370989938.05115
342,25,10,1371085803.06671
4322,3129,10,1371212068.39906
4421,2296,10,1371249612.9793198
3161,135,10,1371620015.18488
4353,546,10,1371745951.06232
4304,135,10,1372152381.36669
3445,2127,8,1372383776.5606
3704,2942,10,1372408458.38824
4499,4400,10,1372625674.51791
2296,4119,8,1372884133.99441
2388,3025,10,1372918480.77846
2942,4515,10,1372971260.07286
2642,4172,8,1373043691.3069198
3744,3408,10,1373268449.26582
4531,4522,10,1373328010.9182801
4531,4197,10,1373328022.31194
4531,3837,10,1373336291.11818
3018,2647,10,1373442712.60706
2647,3018,10,1373444641.72326
4549,3642,10,1373689963.85916
363,1018,8,1373752792.67783
3487,2661,10,1373796382.4725099
1403,4546,10,1373855884.56604
4217,3976,10,1374004907.12407
3756,1318,10,1374237756.64856
1334,2822,10,1374361941.75315
4590,3719,9,1374375152.81602
4590,3744,9,1374375231.21154
4590,2498,10,1374375249.90998
4590,1771,10,1374375264.87453
4594,3642,10,1374449803.34534
3237,4197,10,1374886854.39091
4515,2942,10,1374903574.2153
4631,2942,8,1375207835.8359401
363,4639,10,1375314090.70418
4639,363,10,1375314392.90503
4609,3837,10,1375394997.9182699
4531,4654,10,1375625069.47785
4664,4646,10,1375719902.57205
4664,4662,10,1375719916.43368
4664,4663,10,1375719923.69398
4654,4661,10,1375723120.6816
4531,4661,10,1375723212.68948
4531,4666,10,1375724407.53284
4546,481,10,1375724834.76918
4591,481,10,1375724940.6492
4654,4667,10,1375725573.42446
3642,481,10,1375726094.06089
4654,4668,10,1375727564.55938
